2002,1098313000,"2,86,48,000","91,86,000","1,94,62,000",26.1,8.4,17.7,3.22,63.1,63.6
2003,1117415000,"2,83,56,000","91,50,000","1,92,06,000",25.4,8.2,17.2,3.12,60.8,64.1
2004,1136265000,"2,80,99,000","91,36,000","1,89,63,000",24.7,8,16.7,3.05,58.6,64.5
2005,1154639000,"2,76,46,000","90,96,000","1,85,50,000",23.9,7.9,16.1,2.96,56.3,65
2006,1172374000,"2,72,29,000","90,80,000","1,81,49,000",23.2,7.7,15.5,2.86,54.1,65.4
2007,1189692000,"2,70,30,000","90,95,000","1,79,35,000",22.7,7.6,15.1,2.78,51.9,65.8
2008,1206735000,"2,68,90,000","91,23,000","1,77,67,000",22.3,7.6,14.7,2.72,49.6,66.1
2009,1223640000,"2,68,48,000","91,54,000","1,76,94,000",21.9,7.5,14.5,2.67,47.4,66.5
2010,1240614000,"2,65,99,000","91,62,000","1,74,37,000",21.4,7.4,14.1,2.6,45.2,66.9
2011,1257621191,"2,63,42,000","91,39,000","1,72,03,000",20.9,7.3,13.7,2.54,43,67.4
2012,1274487215,"2,60,27,000","90,72,000","1,69,54,000",20.4,7.1,13.3,2.47,40.8,67.9
2013,1291132063,"2,57,40,000","89,87,000","1,67,53,000",19.9,7,13,2.41,38.7,68.5
2014,1307246509,"2,48,99,000","88,76,000","1,60,23,000",19,6.8,12.3,2.31,36.7,69.1
2015,1322866505,"2,48,28,000","88,26,000","1,60,03,000",18.8,6.7,12.1,2.29,34.7,69.6
2016,1338636340,"2,47,83,000","88,39,000","1,59,44,000",18.5,6.6,11.9,2.27,32.8,70.1
2017,1354195680,"2,42,54,000","89,28,000","1,53,26,000",17.9,6.6,11.3,2.2,31.1,70.5
2018,1369003306,"2,41,68,000","90,98,000","1,50,70,000",17.7,6.6,11,2.18,29.4,70.7
2019,1383112050,"2,35,83,000","92,81,000","1,43,02,000",17,6.7,10.3,2.11,27.9,70.9
2020,1396387127,"2,31,39,000","1,02,62,000","1,28,76,000",16.6,7.4,9.2,2.05,26.6,70.1
2021,1407563842,"2,31,14,000","1,33,00,000"," 9,814,000",16.4,9.4,7,2.03,25.5,67.2
2022,1417173173,"2,01,90,000","1,21,80,000","80,10,000",14.3,9.1,5.2,1.76,,
